"State","District","Date","Year","Month","Avg_etlvl_at15cm","Agency_name"
"Andhra Pradesh","Kurnool","2022-08-31","2022","08","3.2941405372","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-01","2022","08","4.4694401346","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-02","2022","08","4.4921093342","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-03","2022","08","4.8626158231","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-04","2022","08","4.2586310074","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-05","2022","08","4.5600387977","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-06","2022","08","3.7896783727","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-07","2022","08","4.6872606697","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-08","2022","08","4.1028566231","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-09","2022","08","4.5149214588","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-10","2022","08","4.3852481505","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-11","2022","08","4.643149531","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-12","2022","08","4.6835145876","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-13","2022","08","3.9847398926","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-14","2022","08","3.4938848129","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-15","2022","08","3.7867042702","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-16","2022","08","4.3332303625","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-17","2022","08","4.1842112746","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-18","2022","08","3.9393233354","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-19","2022","08","3.1403591383","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-20","2022","08","3.1626316521","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-21","2022","08","2.923648165","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-22","2022","08","3.366837966","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-23","2022","08","2.7775930387","NRSC VIC MODEL"
"Andhra Pradesh","Kurnool","2022-08-24","2022","08","2.3894946675","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-25","2022","08","2.1433372051","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-26","2022","08","2.5827479424","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-27","2022","08","3.9922298294","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-28","2022","08","3.1573824594","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-29","2022","08","2.7712378923","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-30","2022","08","2.8189591618","NRSC VIC MODEL"
"Andhra Pradesh","Prakasam","2022-08-31","2022","08","2.7952877166","NRSC VIC MODEL"
